,Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,JPMorgan Chase,503.5,402.8,468.26,41765.33
1,Bank of America,260.66,208.53,242.41,21621.75
2,ICBC,238.75,191.0,222.04,19804.31
3,Agricultural Bank of China,187.8,150.24,174.65,15578.01
4,Wells Fargo,173.03,138.42,160.92,14352.84
5,Bank of China,157.64,126.11,146.61,13076.24
6,China Construction Bank,150.56,120.45,140.02,12488.95
7,HSBC,149.36,119.49,138.9,12389.41
8,Morgan Stanley,137.88,110.3,128.23,11437.15
9,Royal Bank Of Canada,136.53,109.22,126.97,11325.16
10,HDFC Bank,133.0,106.4,123.69,11032.35
11,Commonwealth Bank,123.88,99.1,115.21,10275.85
12,Goldman Sachs,123.2,98.56,114.58,10219.44
13,Charles Schwab,113.67,90.94,105.71,9428.93
14,Mitsubishi UFJ Financial,113.41,90.73,105.47,9407.36
15,CM Bank,112.49,89.99,104.62,9331.05
16,Toronto Dominion Bank,105.4,84.32,98.02,8742.93
17,Citigroup,102.57,82.06,95.39,8508.18
18,Al Rajhi Bank,96.15,76.92,89.42,7975.64
19,UBS,89.48,71.58,83.22,7422.37
20,ICICI Bank,87.33,69.86,81.22,7244.02
21,State Bank of India,79.94,63.95,74.34,6631.02
22,Bank Central Asia,76.9,61.52,71.52,6378.86
23,Sumitomo Mitsui Financial Group,68.39,54.71,63.6,5672.95
24,Sberbank,68.11,54.49,63.34,5649.72
25,Itaú Unibanco,67.31,53.85,62.6,5583.36
26,BNP Paribas,66.77,53.42,62.1,5538.57
27,Bank of Montreal,66.54,53.23,61.88,5519.49
28,The Saudi National Bank,66.28,53.02,61.64,5497.93
29,National Australia Bank,65.8,52.64,61.19,5458.11
30,Santander,62.86,50.29,58.46,5214.24
31,U.S. Bancorp,62.84,50.27,58.44,5212.58
32,DBS Group,62.27,49.82,57.91,5165.3
33,Postal Savings Bank of China,61.62,49.3,57.31,5111.38
34,PNC Financial Services,58.46,46.77,54.37,4849.26
35,Banco Bilbao Vizcaya Argentaria,58.19,46.55,54.12,4826.86
36,Bank Rakyat Indonesia,58.03,46.42,53.97,4813.59
37,Scotiabank,57.11,45.69,53.11,4737.27
38,Intesa Sanpaolo,55.46,44.37,51.58,4600.41
39,Westpac Banking,54.81,43.85,50.97,4546.49
40,ANZ Bank,54.13,43.3,50.34,4490.08
41,Bank of Communications,53.85,43.08,50.08,4466.86
42,UniCredit,53.72,42.98,49.96,4456.07
43,Capital One,50.94,40.75,47.37,4225.47
44,Nu Holdings,49.16,39.33,45.72,4077.82
45,Truist Financial,46.8,37.44,43.52,3882.06
